@_uuid,correct_index,strata,area_urban_rural,area_km,area_km_2,weight,adm1Pcode,adm1NameLa,FCS_4pt,FSI,num_children,has_children,edu_pin_bin,edu_pin_bin_population,health_pin_bin,food_pin_bin,shelter_pin_bin?,wash_pin_bin,pin_number_sectors,overlap_edu_health,overlap_edu_food,overlap_edu_shelter,overlap_edu_wash,overlap_health_food,overlap_health_shelter,overlap_health_wash,overlap_food_shelter,overlap_food_wash,overlap_shelter_wash
b1358449-071f-45a9-a694-844d4e3a57eb,1617,"5KM_Urban_<100,000",small_urban,5km,20km,0.575407073998352,UKR44,Luhanska,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b0cd695e-2327-4ec8-a0aa-b7151af02c98,1618,"5KM_Urban_<100,000",small_urban,5km,20km,0.575407073998352,UKR44,Luhanska,1,1,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
ed49e2ae-d0a3-4eb6-ba47-49021cfa2081,1619,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,2,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a71ae83d-1d64-4b86-a067-3259aff1bfb8,1620,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43d8c636-d2c1-465a-b44e-dfe3263dd114,1621,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
0032dec1-366d-403a-9237-fab1d340a7fc,1622,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,2,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
078bd5ed-4902-453e-ba44-c13d63fe6c33,1623,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,1.991122396791040,UKR14,Donetska,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d255e680-7062-4be4-8dca-d66b921144df,1624,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,1.991122396791040,UKR14,Donetska,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69341ce1-d0c8-412d-9af3-117d1526cc45,1625,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,1.991122396791040,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9495595-bc5d-402e-97e7-224ce2729232,1626,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,1.991122396791040,UKR14,Donetska,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09269927-830d-4b58-92b9-d0553b8ef0bb,1627,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,1.991122396791040,UKR14,Donetska,3,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad99302-a83f-4aca-9db1-b13a8645d0a6,1628,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,1.991122396791040,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
