"","settlement","yes_no_host"
"10923","NA-3807-J26-001","yes"
"10976","NB-3814-E04-002","no"
"10979","NB-3814-E04-002","yes"
"11004","NA-3805-R08-002","yes"
"11033","NA-3805-Q22-003","no"
"11059","NA-3805-Q08-002","yes"
"11109","NA-3805-S06-003","yes"
"11125","NA-3805-X12-002","no"
"11177","NA-3807-J12-001","yes"
"11222","NA-3807-F30-001","yes"
"11300","NA-3704-A32-001","yes"
"11321","NB-3814-C23-001","yes"
"11322","NB-3814-F15-001","no"
"11335","NA-3807-M25-001","yes"
"11410","NA-3807-F12-009","yes"
"11472","NA-3807-H28-001","yes"
"11482","NA-3807-F30-001","no"
"11603","NB-3814-E04-003","yes"
"11840","NB-3811-S20-001","yes"
"11874","NB-3811-S20-001","no"
